SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,
STT,State Street Corp.,Financials,Diversified Financial Services,
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,2008-11-19
SYK,Stryker Corp.,Health Care,Health Care Equipment,
STI,SunTrust Banks,Financials,Banks,1988-05-31
SYMC,Symantec Corp.,Information Technology,Application Software,2003-03-25
SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18
SYY,Sysco Corp.,Consumer Staples,Food Distributors,1986-12-31
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,1976-12-31
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,2011-10-17
TGNA,Tegna Inc.,Consumer Discretionary,Publishing,1975-12-31
TDC,Teradata Corp.,Information Technology,Application Software,2007-10-01
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation,2007-09-27
TXN,Texas Instruments,Information Technology,Semiconductors,
TXT,Textron Inc.,Industrials,Industrial Conglomerates,1978-12-31
BK,The Bank of New York Mellon Corp.,Financials,Banks,
CLX,The Clorox Company,Consumer Staples,Household Products,1969-03-31
COO,The Cooper Companies,Health Care,Health Care Supplies,2016-09-23
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,2011-09-26
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,1976-06-30
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment,
TIF,Tiffany & Co.,Consumer Discretionary,Apparel Accessories & Luxury Goods,
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,1985-09-30
TMK,Torchmark Corp.,Financials,Life & Health Insurance,1989-04-30
TSS,Total System Services,Information Technology,Internet Software & Services,2008-01-02
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,2014-01-24
TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03
RIG,Transocean,Energy,Oil & Gas Drilling,2013-10-29
TRIP,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,2011-12-21
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,2013-07-01
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,2015-09-18
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,
USB,U.S. Bancorp,Financials,Banks,
UDR,UDR Inc,Real Estate,Residential REITs,2016-03-07
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,Specialty Stores,2016-04-18
UA,Under Armour,Consumer Discretionary,Apparel Accessories & Luxury Goods,2014-05-01
UAA,Under Armour,Consumer Discretionary,Apparel Accessories & Luxury Goods,2016-03-25
UNP,Union Pacific,Industrials,Railroads,
UAL,United Continental Holdings,Industrials,Airlines,2015-09-03
UNH,United Health Group Inc.,Health Care,Managed Health Care,1994-07-01
UPS,United Parcel Service,Industrials,Air Freight & Logistics,
URI,United Rentals Inc.,Industrials,Trading Companies & Distributors,2014-09-20
UTX,United Technologies,Industrials,Industrial Conglomerates,
UHS,Universal Health Services Inc.,Health Care,Health Care Facilities,2014-09-20
UNM,Unum Group,Financials,Diversified Financial Services,1994-03-01
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,2010-02-08
VFC,V.F. Corp.,Consumer Discretionary,Apparel Accessories & Luxury Goods,1979-06-30
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,
VAR,Varian Medical Systems,Health Care,Health Care Equipment,2007-02-12
VTR,Ventas Inc,Real Estate,REITs,2009-03-04
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2015-10-08
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,1983-11-30
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,2013-09-23
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,
V,Visa Inc.,Information Technology,Internet Software & Services,2009-12-21
VNO,Vornado Realty Trust,Real Estate,REITs,
VMC,Vulcan Materials,Materials,Construction Materials,
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,1982-08-31
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31
WM,Waste Management Inc.,Industrials,Environmental Services,
WAT,Waters Corporation,Health Care,Health Care Distributors,
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,2008-10-31
WFC,Wells Fargo,Financials,Banks,1976-06-30
HCN,Welltower Inc.,Real Estate,REITs,2009-01-30
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,2009-07-01
WU,Western Union Co,Information Technology,Internet Software & Services,
WRK,WestRock Company,Materials,Paper Packaging,
WY,Weyerhaeuser Corp.,Real Estate,REITs,
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,
WFM,Whole Foods Market,Consumer Staples,Food Retail,
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,1975-03-31
WLTW,Willis Towers Watson,Financials,Insurance Brokers,2016-01-05
WYN,Wyndham Worldwide,Consumer Discretionary,Hotels Resorts & Cruise Lines,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,2008-11-14
XEL,Xcel Energy Inc,Utilities,MultiUtilities,
XRX,Xerox Corp.,Information Technology,IT Consulting & Other Services,
XLNX,Xilinx Inc,Information Technology,Semiconductors,
XL,XL Capital,Financials,Property & Casualty Insurance,
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,2011-11-01
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,1997-10-06
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,
ZION,Zions Bancorp,Financials,Regional Banks,
ZTS,Zoetis,Health Care,Pharmaceuticals,2013-06-21
